epoch,resnet50_train_loss,resnet50_valid_loss,resnet50_train_f1,resnet50_valid_f1,efficientnet_b0_train_loss,efficientnet_b0_valid_loss,efficientnet_b0_train_f1,efficientnet_b0_valid_f1,mobilenet_v3_large_train_loss,mobilenet_v3_large_valid_loss,mobilenet_v3_large_train_f1,mobilenet_v3_large_valid_f1
1,0.5070648709963754,0.3848763990402222,0.7578503416796851,0.8484583551903013,0.6168618670317241,0.44185977424894063,0.6221513598728293,0.8133633531960996,0.6233166165935674,0.5466421839169093,0.5965520117798104,0.7426028975559531
2,0.2540272820693308,0.3550504942451205,0.8999931254726239,0.8555645176417626,0.3640076036441238,0.3427516325882503,0.8424771365795947,0.8422729541285949,0.392681529359363,0.3884049778325217,0.8305874630784378,0.8348166127292341
3,0.15289799751860372,0.4579743510697569,0.9405379787454623,0.8441425318646603,0.21824615798293043,0.41316188905920304,0.9095516658036646,0.8320825194475858,0.22931419489042837,0.37987842551299505,0.9030943962954852,0.8578543331400377
4,0.12499294043920937,0.4624928274324962,0.9476103721876077,0.8511246966196548,0.15037824973862376,0.4380899809939521,0.9456962605670072,0.8306543054828035,0.13733103763094157,0.5018100198677607,0.9503918872609802,0.8414855072463767
5,0.104542174521965,0.42889332107135225,0.9567324692684704,0.8452706317874856,0.1438919467456763,0.46898645743727685,0.9432454302943183,0.8435008563160692,0.10370589225779943,0.5163214731429304,0.9582519668890198,0.8355038282745421
6,0.09322205761498788,0.591886204310826,0.9596226651231188,0.8221571294068417,0.11454699662756153,0.5256179093729172,0.9537538947860791,0.8462889767237594,0.08521568115276683,0.5253082622428026,0.9676664470173206,0.8494702228717573
7,0.07127011664058755,0.6386152527348271,0.9697021964205471,0.8410428931875527,0.09003045881893781,0.5359135577508382,0.9611869485287206,0.8469301934398654,0.06788241727142683,0.6019069272279739,0.9700517697294475,0.8392617629701165
8,0.08161996888463717,0.6067722402300153,0.9643977678851339,0.8390462253223909,0.09349733341091226,0.6084595127350517,0.9595429180512884,0.8450523161273296,0.06029270968087096,0.6223925087920257,0.9733071961790865,0.8643136461704422
9,0.08857164486191939,0.6610673579460542,0.9595429180512884,0.8452380952380952,0.08902032458588209,0.6397876652090677,0.9607105456475453,0.8436657227615965,0.06481764561986332,0.7681514762395195,0.969980598369911,0.8303571428571429
10,0.07515692981649212,0.6846283284361874,0.9668362134346227,0.8339320318027508,0.07103446696974057,0.6417354024095194,0.971318079278118,0.8457770885764886,0.07366170648432017,0.6917988533207349,0.9668689824972698,0.8700761826020198
