MLP,Augment,Scheduler,BatchSize,WeightDecay,Epoch,TrainLoss,TrainAcc,TrainF1,ValLoss,ValAcc,ValF1
mini,none,False,16,0.0,1,0.5892331145360274,0.7179387834172801,0.6729559748427673,0.44999560458319526,0.8285714285714286,0.803921568627451
mini,none,False,16,0.0,2,0.3570524621776535,0.8628438589693918,0.8323863636363636,0.39215182470423837,0.8571428571428571,0.8355263157894737
mini,none,False,16,0.0,3,0.2601463827154794,0.9178612940720651,0.8962818003913895,0.4195113758104188,0.8414285714285714,0.8128161888701517
mini,none,False,16,0.0,4,0.19305907351934415,0.9372336303758233,0.9201183431952663,0.4331948210299015,0.8528571428571429,0.8227194492254734
mini,none,False,16,0.0,5,0.1662440487796694,0.9438202247191011,0.9285362247412517,0.42926045309752225,0.8542857142857143,0.823529411764706
mini,none,False,16,0.0,6,0.1359644167555344,0.9569934134056567,0.944527736131934,0.48999252207045046,0.86,0.8338983050847458
mini,none,False,16,0.0,7,0.11589901115209822,0.9604804339403332,0.9491017964071857,0.5025239583583815,0.8642857142857143,0.8342059336823735
mini,none,False,16,0.0,8,0.10974375024894004,0.9686168151879117,0.9595202398800599,0.5142925493898136,0.8557142857142858,0.8302521008403362
mini,none,False,16,0.0,9,0.10555787348570587,0.9678419217357613,0.9587270014917951,0.5216305147616991,0.8471428571428572,0.8106194690265487
mini,none,False,16,0.0,10,0.10373642406304046,0.9666795815575359,0.9575098814229249,0.5143730325411473,0.8528571428571429,0.8239316239316239
mini,none,False,16,0.0001,1,0.5827879986066496,0.7256877179387834,0.6805054151624549,0.46766573224748886,0.8085714285714286,0.7969696969696971
mini,none,False,16,0.0001,2,0.353408133161479,0.8690430065865944,0.8384321223709369,0.4069908283012254,0.8571428571428571,0.8287671232876712
mini,none,False,16,0.0001,3,0.23966318876971482,0.9209608678806664,0.8999999999999999,0.3923464147107942,0.86,0.8262411347517731
mini,none,False,16,0.0001,4,0.18919658125693925,0.9414955443626501,0.9253583786455759,0.45250304601022173,0.8542857142857143,0.8277027027027027
mini,none,False,16,0.0001,5,0.17644779400554322,0.9465323518016273,0.9313432835820896,0.47585254784673453,0.86,0.8321917808219178
mini,none,False,16,0.0001,6,0.13528212667643122,0.9538938395970554,0.9405297351324338,0.527945664120572,0.8528571428571429,0.8208695652173913
mini,none,False,16,0.0001,7,0.1351585183689549,0.9573808601317318,0.945436507936508,0.5416790628692667,0.8614285714285714,0.8330464716006885
mini,none,False,16,0.0001,8,0.13641825880666242,0.957768306857807,0.9456900847035375,0.5266336730122566,0.8671428571428571,0.836555360281195
mini,none,False,16,0.0001,9,0.0930829733806449,0.9674544750096862,0.9579158316633266,0.6156145059036291,0.8542857142857143,0.8216783216783218
mini,none,False,16,0.0001,10,0.08997168867635558,0.9682293684618365,0.959122632103689,0.6448168019577861,0.8614285714285714,0.8270944741532976
mini,none,False,32,0.0,1,0.599270638813117,0.708252615265401,0.6693017127799737,0.5887451202528817,0.6685714285714286,0.7017994858611826
mini,none,False,32,0.0,2,0.3412147490138095,0.8810538550949244,0.8559361801970906,0.4223565212317875,0.8528571428571429,0.8263069139966274
mini,none,False,32,0.0,3,0.22459127039513999,0.9290972491282449,0.9104258443465492,0.3908808742250715,0.8685714285714285,0.8419243986254297
mini,none,False,32,0.0,4,0.15879304965121577,0.9542812863231306,0.9419291338582677,0.41296804319534985,0.8542857142857143,0.8311258278145696
mini,none,False,32,0.0,5,0.1363535470530212,0.9569934134056567,0.9447486311597811,0.4727078328920262,0.8528571428571429,0.8257191201353637
